name,logt,logt_erl,logt_erh,B,B_erl,B_erh,t_sec,t_90
bn160910722,1.290627729,0.576666911,0.073734222,0.021009291,0.004099392,0.090689195,16,24.32
bn161218356,-0.418080926,0.121091758,1.617231818,0.088126379,0.086786052,0.091432087,30,25.857
bn170206453,-0.119487091,0.948518113,0.275262107,0.026076626,0.01613231,0.663390906,1.5,1.168
bn170409112,0.227722066,1.727527404,0.306527528,-0.01423605,0.185613174,1.510037253,40.5,64.001
bn170808936,0.380231152,0.615453037,0.203066202,0.028131878,0.012945516,0.241655985,25,17.664
bn170921168,1.109697111,0.019643847,0.045736311,0.291593186,0.112325402,0.123262429,42,39.361
bn171010792,0.081647835,0.1102215,0.241118553,0.525898987,0.264661001,0.326190886,82,107.266
bn171120556,0.450215757,1.047194977,0.348844845,0.011863053,0.00645078,0.658436703,1.5,44.062
bn171126235,-0.252752253,0.967986943,0.682211102,0.034597788,0.029059048,1.464063101,1.5,1.472
bn171227000,1.483323812,0.265401363,0.007090674,0.2647255,0.16076603,0.4698639,175,37.633
bn180113011,0.562204624,1.019666069,0.143654129,0.012719987,0.001680553,0.606866231,14,15.872
bn180113418,0.539247142,1.125215847,0.262527359,0.019544361,0.010816394,1.340626476,33.5,24.576
bn180218635,0.592360772,0.961428824,0.616860891,0.018565774,0.013642959,1.278419323,8,5.632
bn180409346,-0.602232993,0.896990938,1.094058931,0.021872526,0.164980966,1.476394815,14.5,13.056
bn180703949,0.040004768,0.770380177,0.311945222,0.022039405,0.011362563,0.359956416,2,1.536
bn180720598,-0.15544886,0.054488523,0.146775925,0.384012476,0.229126067,0.249639446,51.5,48.897
bn180728728,-1.137445258,0.115848172,0.523226714,-0.199610383,0.000386093,0.117240121,14,6.4
bn180828790,0.375381828,1.867322251,0.231204747,-0.020192532,0.179326566,0.013128446,9,8.256
bn180923931,0.170201553,0.746415637,0.935604328,0.03125559,0.027797628,0.614298748,11.5,8.192
bn181212693,0.817930882,0.719773865,0,0.022274694,0.001977233,0.219817914,8,57.601
bn190114873,-0.033406734,0.03177343,0.077730629,0.378430295,0.121017784,0.140607099,27.00007606,116.354
bn190129539,0.43050242,0.625880469,1.053934466,0.706296986,0.700110119,0.790376419,1.2,9.984
bn190327111,0.014766812,1.506343603,1.483398378,1.3837309,1.573926008,0.114564562,23.14,36.864
bn190530430,0.104261606,0.576030308,0.016121559,0.030770772,0.002224902,0.205449076,29.5,18.432
bn190720613,0.133874603,0.195467966,0.619782585,0.119401275,0.101908057,0.411082759,9,6.144
bn190806675,0.511915326,0,0,0.584173346,0,0,1,20.992
bn200101861,0.523526448,0.93131235,0.108260892,0.011775039,0.004829063,0.156730206,16,9.984
bn200125864,0.427843401,0.530373783,0.602878896,0.032047826,0.024229248,0.164473693,7.5,5.824
bn200313071,0.723495305,1.941653789,0.16399902,0.006814895,0.002070646,1.493020439,27,13.568
bn200412381,0.795521313,0.839204883,0,0.015391756,0,0.229827895,13.5,6.08
bn200716957,0.210115631,1.120899567,0.35877121,0.013999253,0.009845337,1.472460706,5.5,5.312
bn200826187,-0.410159572,0.216884723,0.943046717,0.605420773,0.595834753,0.892961529,1,1.136
bn200826923,1.105450571,0.609615746,0.040389401,0.013634401,0.001574401,0.056723088,13,7.424
bn200829582,0.956157172,0.831620075,0.340814804,0.016522594,0.010233082,0.248901732,9,6.912
bn190727846,0.239917949,0.589393373,0.393319153,1.118867844,0.882666653,0.379503473,20.5,35.073
bn090227772,-0.066384245,0.912846043,1.101089466,0.021299015,0.020249878,0.735419492,0.38,0.304
bn111222619,-0.051166921,1.388297746,-0.29257416,-0.008519428,0.191022107,-0.022082836,0.36,0.288
bn140901821,0.152026118,1.150299667,0.543695806,1.46272704,1.458802622,0.036146838,0.22,0.176
bn160822672,-0.50178899,0.852302595,0.355567964,1.218657764,1.210754058,0.280750279,0.04,0.04
bn170127067,0.303810596,1.660242074,0.238412632,-0.033634692,0.16528645,0.019136888,0.18,0.128
bn170708046,0.222524285,1.128056944,0.12840173,1.499799877,1.493126617,0,0.14,0.144
bn171108656,-1.199521422,0,0,0.107258403,0,0,0.1,0.032
bn190606080,-0.581601889,0.917899348,0.473983787,-0.022196505,0.140287806,0.018321709,0.44,0.224
bn191227723,-0.350410397,1.145447021,1.677499647,-0.013753614,0.099574253,1.509378427,0.2,0.208
bn200415367,-0.382658445,1.115602157,0.964919709,-0.031531255,0.167421452,1.527825174,0.2,0.144
